Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,1,5000,100,0.001,21,13,27,39,0.6,0.4,0.4375,0.25,0.75,0.6176470588235294
1,1,5000,100,0.001,22,21,26,31,0.53,0.47,0.4583333333333333,0.40384615384615385,0.5961538461538461,0.5116279069767442
2,1,5000,100,0.001,22,22,24,32,0.54,0.46,0.4782608695652174,0.4074074074074074,0.5925925925925926,0.5
3,1,5000,100,0.001,41,33,10,16,0.57,0.43,0.803921568627451,0.673469387755102,0.32653061224489793,0.5540540540540541
4,1,5000,100,0.001,24,16,24,36,0.6,0.4,0.5,0.3076923076923077,0.6923076923076923,0.6
5,1,5000,100,0.001,25,16,34,25,0.5,0.5,0.423728813559322,0.3902439024390244,0.6097560975609756,0.6097560975609756
6,1,5000,100,0.001,42,32,12,14,0.56,0.44,0.7777777777777778,0.6956521739130435,0.30434782608695654,0.5675675675675675
7,1,5000,100,0.001,35,18,19,28,0.63,0.37,0.6481481481481481,0.391304347826087,0.6086956521739131,0.660377358490566
8,1,5000,100,0.001,48,14,19,19,0.67,0.33,0.7164179104477612,0.42424242424242425,0.5757575757575758,0.7741935483870968
9,1,5000,100,0.001,27,23,24,26,0.53,0.47,0.5294117647058824,0.46938775510204084,0.5306122448979592,0.54
10,1,5000,100,0.001,10,12,33,45,0.55,0.45,0.23255813953488372,0.21052631578947367,0.7894736842105263,0.45454545454545453
11,1,5000,100,0.001,27,24,20,29,0.56,0.44,0.574468085106383,0.4528301886792453,0.5471698113207547,0.5294117647058824
12,1,5000,100,0.001,28,20,28,24,0.52,0.48,0.5,0.45454545454545453,0.5454545454545454,0.5833333333333334
13,1,5000,100,0.001,20,25,26,29,0.49,0.51,0.43478260869565216,0.46296296296296297,0.5370370370370371,0.4444444444444444
14,1,5000,100,0.001,32,26,21,21,0.53,0.47,0.6037735849056604,0.5531914893617021,0.44680851063829785,0.5517241379310345
0,1,5000,100,0.101,26,17,30,27,0.53,0.47,0.4642857142857143,0.38636363636363635,0.6136363636363636,0.6046511627906976
1,1,5000,100,0.101,27,18,24,31,0.58,0.42,0.5294117647058824,0.3673469387755102,0.6326530612244898,0.6
2,1,5000,100,0.101,35,27,17,21,0.56,0.44,0.6730769230769231,0.5625,0.4375,0.5645161290322581
3,1,5000,100,0.101,26,19,22,33,0.59,0.41,0.5416666666666666,0.36538461538461536,0.6346153846153846,0.5777777777777777
4,1,5000,100,0.101,31,23,19,27,0.58,0.42,0.62,0.46,0.54,0.5740740740740741
5,1,5000,100,0.101,24,24,26,26,0.5,0.5,0.48,0.48,0.52,0.5
6,1,5000,100,0.101,38,32,12,18,0.56,0.44,0.76,0.64,0.36,0.5428571428571428
7,1,5000,100,0.101,32,18,25,25,0.57,0.43,0.5614035087719298,0.4186046511627907,0.5813953488372093,0.64
8,1,5000,100,0.101,19,12,24,45,0.64,0.36,0.4418604651162791,0.21052631578947367,0.7894736842105263,0.6129032258064516
9,1,5000,100,0.101,38,16,19,27,0.65,0.35,0.6666666666666666,0.37209302325581395,0.627906976744186,0.7037037037037037
10,1,5000,100,0.101,27,11,35,27,0.54,0.46,0.43548387096774194,0.2894736842105263,0.7105263157894737,0.7105263157894737
11,1,5000,100,0.101,20,20,23,37,0.57,0.43,0.46511627906976744,0.3508771929824561,0.6491228070175439,0.5
12,1,5000,100,0.101,16,13,28,43,0.59,0.41,0.36363636363636365,0.23214285714285715,0.7678571428571429,0.5517241379310345
13,1,5000,100,0.101,25,21,27,27,0.52,0.48,0.4807692307692308,0.4375,0.5625,0.5434782608695652
14,1,5000,100,0.101,24,17,28,31,0.55,0.45,0.46153846153846156,0.3541666666666667,0.6458333333333334,0.5853658536585366
0,1,5000,100,0.201,30,17,28,25,0.55,0.45,0.5172413793103449,0.40476190476190477,0.5952380952380952,0.6382978723404256
1,1,5000,100,0.201,33,39,13,15,0.48,0.52,0.717391304347826,0.7222222222222222,0.2777777777777778,0.4583333333333333
2,1,5000,100,0.201,29,39,14,18,0.47,0.53,0.6744186046511628,0.6842105263157895,0.3157894736842105,0.4264705882352941
3,1,5000,100,0.201,26,20,29,25,0.51,0.49,0.4727272727272727,0.4444444444444444,0.5555555555555556,0.5652173913043478
4,1,5000,100,0.201,32,20,18,30,0.62,0.38,0.64,0.4,0.6,0.6153846153846154
5,1,5000,100,0.201,23,17,34,26,0.49,0.51,0.40350877192982454,0.3953488372093023,0.6046511627906976,0.575
6,1,5000,100,0.201,27,32,14,27,0.54,0.46,0.6585365853658537,0.5423728813559322,0.4576271186440678,0.4576271186440678
7,1,5000,100,0.201,25,23,20,32,0.57,0.43,0.5555555555555556,0.41818181818181815,0.5818181818181818,0.5208333333333334
8,1,5000,100,0.201,31,21,22,26,0.57,0.43,0.5849056603773585,0.44680851063829785,0.5531914893617021,0.5961538461538461
9,1,5000,100,0.201,27,17,22,34,0.61,0.39,0.5510204081632653,0.3333333333333333,0.6666666666666666,0.6136363636363636
10,1,5000,100,0.201,28,25,21,26,0.54,0.46,0.5714285714285714,0.49019607843137253,0.5098039215686274,0.5283018867924528
11,1,5000,100,0.201,20,16,34,30,0.5,0.5,0.37037037037037035,0.34782608695652173,0.6521739130434783,0.5555555555555556
12,1,5000,100,0.201,21,35,18,26,0.47,0.53,0.5384615384615384,0.5737704918032787,0.4262295081967213,0.375
13,1,5000,100,0.201,9,11,37,43,0.52,0.48,0.1956521739130435,0.2037037037037037,0.7962962962962963,0.45
14,1,5000,100,0.201,20,27,32,21,0.41,0.59,0.38461538461538464,0.5625,0.4375,0.425531914893617
0,1,5000,100,0.301,46,30,6,18,0.64,0.36,0.8846153846153846,0.625,0.375,0.6052631578947368
1,1,5000,100,0.301,31,22,25,22,0.53,0.47,0.5535714285714286,0.5,0.5,0.5849056603773585
2,1,5000,100,0.301,30,30,19,21,0.51,0.49,0.6122448979591837,0.5882352941176471,0.4117647058823529,0.5
3,1,5000,100,0.301,16,17,26,41,0.57,0.43,0.38095238095238093,0.29310344827586204,0.7068965517241379,0.48484848484848486
4,1,5000,100,0.301,33,15,25,27,0.6,0.4,0.5689655172413793,0.35714285714285715,0.6428571428571429,0.6875
5,1,5000,100,0.301,19,18,32,31,0.5,0.5,0.37254901960784315,0.3673469387755102,0.6326530612244898,0.5135135135135135
6,1,5000,100,0.301,11,15,39,35,0.46,0.54,0.22,0.3,0.7,0.4230769230769231
7,1,5000,100,0.301,27,18,23,32,0.59,0.41,0.54,0.36,0.64,0.6
8,1,5000,100,0.301,33,27,14,26,0.59,0.41,0.7021276595744681,0.5094339622641509,0.49056603773584906,0.55
9,1,5000,100,0.301,20,21,23,36,0.56,0.44,0.46511627906976744,0.3684210526315789,0.631578947368421,0.4878048780487805
10,1,5000,100,0.301,33,23,18,26,0.59,0.41,0.6470588235294118,0.46938775510204084,0.5306122448979592,0.5892857142857143
11,1,5000,100,0.301,16,14,37,33,0.49,0.51,0.3018867924528302,0.2978723404255319,0.7021276595744681,0.5333333333333333
12,1,5000,100,0.301,21,14,30,35,0.56,0.44,0.4117647058823529,0.2857142857142857,0.7142857142857143,0.6
13,1,5000,100,0.301,26,27,25,22,0.48,0.52,0.5098039215686274,0.5510204081632653,0.4489795918367347,0.49056603773584906
14,1,5000,100,0.301,17,9,33,41,0.58,0.42,0.34,0.18,0.82,0.6538461538461539
0,1,5000,100,0.401,35,46,8,11,0.46,0.54,0.813953488372093,0.8070175438596491,0.19298245614035087,0.43209876543209874
1,1,5000,100,0.401,31,9,22,38,0.69,0.31,0.5849056603773585,0.19148936170212766,0.8085106382978723,0.775
2,1,5000,100,0.401,18,24,28,30,0.48,0.52,0.391304347826087,0.4444444444444444,0.5555555555555556,0.42857142857142855
3,1,5000,100,0.401,10,11,43,36,0.46,0.54,0.18867924528301888,0.23404255319148937,0.7659574468085106,0.47619047619047616
4,1,5000,100,0.401,20,11,35,34,0.54,0.46,0.36363636363636365,0.24444444444444444,0.7555555555555555,0.6451612903225806
5,1,5000,100,0.401,22,7,38,33,0.55,0.45,0.36666666666666664,0.175,0.825,0.7586206896551724
6,1,5000,100,0.401,38,37,15,10,0.48,0.52,0.7169811320754716,0.7872340425531915,0.2127659574468085,0.5066666666666667
7,1,5000,100,0.401,17,11,39,33,0.5,0.5,0.30357142857142855,0.25,0.75,0.6071428571428571
8,1,5000,100,0.401,19,9,30,42,0.61,0.39,0.3877551020408163,0.17647058823529413,0.8235294117647058,0.6785714285714286
9,1,5000,100,0.401,27,17,20,36,0.63,0.37,0.574468085106383,0.32075471698113206,0.6792452830188679,0.6136363636363636
10,1,5000,100,0.401,16,21,30,33,0.49,0.51,0.34782608695652173,0.3888888888888889,0.6111111111111112,0.43243243243243246
11,1,5000,100,0.401,42,39,5,14,0.56,0.44,0.8936170212765957,0.7358490566037735,0.2641509433962264,0.5185185185185185
12,1,5000,100,0.401,23,23,24,30,0.53,0.47,0.48936170212765956,0.4339622641509434,0.5660377358490566,0.5
13,1,5000,100,0.401,27,20,26,27,0.54,0.46,0.5094339622641509,0.425531914893617,0.574468085106383,0.574468085106383
14,1,5000,100,0.401,36,34,11,19,0.55,0.45,0.7659574468085106,0.6415094339622641,0.3584905660377358,0.5142857142857142
0,1,5000,100,0.501,21,12,31,36,0.57,0.43,0.40384615384615385,0.25,0.75,0.6363636363636364
1,1,5000,100,0.501,36,26,14,24,0.6,0.4,0.72,0.52,0.48,0.5806451612903226
2,1,5000,100,0.501,37,35,10,18,0.55,0.45,0.7872340425531915,0.660377358490566,0.33962264150943394,0.5138888888888888
3,1,5000,100,0.501,28,26,21,25,0.53,0.47,0.5714285714285714,0.5098039215686274,0.49019607843137253,0.5185185185185185
4,1,5000,100,0.501,10,12,38,40,0.5,0.5,0.20833333333333334,0.23076923076923078,0.7692307692307693,0.45454545454545453
5,1,5000,100,0.501,34,35,15,16,0.5,0.5,0.6938775510204082,0.6862745098039216,0.3137254901960784,0.4927536231884058
6,1,5000,100,0.501,16,7,43,34,0.5,0.5,0.2711864406779661,0.17073170731707318,0.8292682926829268,0.6956521739130435
7,1,5000,100,0.501,24,15,25,36,0.6,0.4,0.4897959183673469,0.29411764705882354,0.7058823529411765,0.6153846153846154
8,1,5000,100,0.501,26,18,19,37,0.63,0.37,0.5777777777777777,0.32727272727272727,0.6727272727272727,0.5909090909090909
9,1,5000,100,0.501,22,10,26,42,0.64,0.36,0.4583333333333333,0.19230769230769232,0.8076923076923077,0.6875
10,1,5000,100,0.501,41,26,17,16,0.57,0.43,0.7068965517241379,0.6190476190476191,0.38095238095238093,0.6119402985074627
11,1,5000,100,0.501,23,24,25,28,0.51,0.49,0.4791666666666667,0.46153846153846156,0.5384615384615384,0.48936170212765956
12,1,5000,100,0.501,44,27,15,14,0.58,0.42,0.7457627118644068,0.6585365853658537,0.34146341463414637,0.6197183098591549
13,1,5000,100,0.501,16,10,33,41,0.57,0.43,0.32653061224489793,0.19607843137254902,0.803921568627451,0.6153846153846154
14,1,5000,100,0.501,39,33,12,16,0.55,0.45,0.7647058823529411,0.673469387755102,0.32653061224489793,0.5416666666666666
0,1,5000,100,0.601,21,28,20,31,0.52,0.48,0.5121951219512195,0.4745762711864407,0.5254237288135594,0.42857142857142855
1,1,5000,100,0.601,32,30,17,21,0.53,0.47,0.6530612244897959,0.5882352941176471,0.4117647058823529,0.5161290322580645
2,1,5000,100,0.601,30,34,11,25,0.55,0.45,0.7317073170731707,0.576271186440678,0.423728813559322,0.46875
3,1,5000,100,0.601,41,27,17,15,0.56,0.44,0.7068965517241379,0.6428571428571429,0.35714285714285715,0.6029411764705882
4,1,5000,100,0.601,20,20,31,29,0.49,0.51,0.39215686274509803,0.40816326530612246,0.5918367346938775,0.5
5,1,5000,100,0.601,11,21,30,38,0.49,0.51,0.2682926829268293,0.3559322033898305,0.6440677966101694,0.34375
6,1,5000,100,0.601,36,28,11,25,0.61,0.39,0.7659574468085106,0.5283018867924528,0.4716981132075472,0.5625
7,1,5000,100,0.601,38,32,9,21,0.59,0.41,0.8085106382978723,0.6037735849056604,0.39622641509433965,0.5428571428571428
8,1,5000,100,0.601,41,33,13,13,0.54,0.46,0.7592592592592593,0.717391304347826,0.2826086956521739,0.5540540540540541
9,1,5000,100,0.601,21,11,32,36,0.57,0.43,0.39622641509433965,0.23404255319148937,0.7659574468085106,0.65625
10,1,5000,100,0.601,28,31,10,31,0.59,0.41,0.7368421052631579,0.5,0.5,0.4745762711864407
11,1,5000,100,0.601,37,32,16,15,0.52,0.48,0.6981132075471698,0.6808510638297872,0.3191489361702128,0.5362318840579711
12,1,5000,100,0.601,28,35,12,25,0.53,0.47,0.7,0.5833333333333334,0.4166666666666667,0.4444444444444444
13,1,5000,100,0.601,22,17,32,29,0.51,0.49,0.4074074074074074,0.3695652173913043,0.6304347826086957,0.5641025641025641
14,1,5000,100,0.601,32,16,18,34,0.66,0.34,0.64,0.32,0.68,0.6666666666666666
0,1,5000,100,0.701,27,31,16,26,0.53,0.47,0.627906976744186,0.543859649122807,0.45614035087719296,0.46551724137931033
1,1,5000,100,0.701,39,32,9,20,0.59,0.41,0.8125,0.6153846153846154,0.38461538461538464,0.5492957746478874
2,1,5000,100,0.701,29,22,23,26,0.55,0.45,0.5576923076923077,0.4583333333333333,0.5416666666666666,0.5686274509803921
3,1,5000,100,0.701,27,23,20,30,0.57,0.43,0.574468085106383,0.4339622641509434,0.5660377358490566,0.54
4,1,5000,100,0.701,28,20,22,30,0.58,0.42,0.56,0.4,0.6,0.5833333333333334
5,1,5000,100,0.701,19,9,34,38,0.57,0.43,0.3584905660377358,0.19148936170212766,0.8085106382978723,0.6785714285714286
6,1,5000,100,0.701,17,14,32,37,0.54,0.46,0.3469387755102041,0.27450980392156865,0.7254901960784313,0.5483870967741935
7,1,5000,100,0.701,18,5,42,35,0.53,0.47,0.3,0.125,0.875,0.782608695652174
8,1,5000,100,0.701,26,26,19,29,0.55,0.45,0.5777777777777777,0.4727272727272727,0.5272727272727272,0.5
9,1,5000,100,0.701,30,19,25,26,0.56,0.44,0.5454545454545454,0.4222222222222222,0.5777777777777777,0.6122448979591837
10,1,5000,100,0.701,23,15,22,40,0.63,0.37,0.5111111111111111,0.2727272727272727,0.7272727272727273,0.6052631578947368
11,1,5000,100,0.701,19,8,25,48,0.67,0.33,0.4318181818181818,0.14285714285714285,0.8571428571428571,0.7037037037037037
12,1,5000,100,0.701,19,13,27,41,0.6,0.4,0.41304347826086957,0.24074074074074073,0.7592592592592593,0.59375
13,1,5000,100,0.701,28,25,16,31,0.59,0.41,0.6363636363636364,0.44642857142857145,0.5535714285714286,0.5283018867924528
14,1,5000,100,0.701,42,27,15,16,0.58,0.42,0.7368421052631579,0.627906976744186,0.37209302325581395,0.6086956521739131
